etudiant_id,etudiant_prenom,etudiant_nom,etudiant_sexe,filieres_groupe_id
1,Larbi,Khalil,Homme,1
2,Adil,Othmani,Homme,1
3,Zahra,Sahraoui,Femme,1
4,Rida,Zouine,Homme,2
5,Adil,Benjelloun,Homme,1
6,Rokia,Hammoudi,Femme,1
7,Sidi,Samir,Homme,2
8,Kadija,Touré,Femme,2
9,Fatimazahra,Sefiani,Femme,2
10,Manal,Jabri,Femme,1
11,Ahlam,Sefrioui,Femme,1
12,Younes,Boul,Homme,1
13,Zahia,Loukili,Femme,2
14,Marco,Rodriguez,Homme,1
15,Narjis,Idrissi,Femme,1
16,Ines,Touhi,Femme,1
17,Hajar,El Moutaouakil,Femme,2
18,Reda,Kabbaj,Homme,1
19,Asma,Zoux,Femme,2
20,Karima,Mouline,Femme,1
21,Asma,Sahraoui,Femme,2
22,Mohamed,Touzi,Homme,1
23,Farida,Nouaman,Femme,2
24,Rokia,Mansouri,Femme,2
25,Yasmina,Guennoun,Femme,1
26,Fatimazahra,Zouine,Femme,1
27,Samira,Toumi,Femme,1
28,Zahra,Moussaoui,Femme,1
29,Fadwa,Kabbaj,Femme,1
30,Mbarek,Rchid,Homme,1
31,Yahya,Salem,Homme,2
32,Adil,Nacer,Homme,1
33,Rokhaya,Cissé,Femme,1
34,Daniel,Schmidt,Homme,1
35,Farid,Zoukh,Homme,1
36,Marouane,Smahi,Homme,1
37,Ilham,El Boukili,Femme,1
38,Samira,Bahi,Femme,1
39,Rabia,Bout,Femme,2
40,Daniel,Schmidt,Homme,1
41,Said,Jebli,Homme,1
42,Driss,El Boukili,Homme,1
43,Taoufik,Assou,Femme,2
44,Othmane,Zouw,Homme,2
45,Taoufik,Zouine,Femme,2
46,Marouane,Daoudi,Homme,1
47,Noureddine,Harrak,Homme,1
48,Nasser,Bourkadi,Homme,1
49,Imane,Kacem,Femme,1
50,Antoine,Schmidt,Homme,2
51,Younes,Fassi,Homme,2
52,Saadia,El Mandjra,Femme,2
53,Asma,Aroui,Femme,2
54,Youssef,Har,Homme,2
55,Zahia,Ouali,Femme,1
56,Lina,Jabri,Femme,2
57,Rajae,Hakimi,Femme,1
58,Samira,Kettani,Femme,2
59,Cheikh,Kane,Homme,2
60,Reda,Sabri,Homme,2
61,Mounir,Salmi,Homme,2
62,Mehdi,Sbitri,Homme,2
63,Aissatou,Coulibaly,Femme,1
64,Fatou,Camara,Femme,1
65,Aya,Gharbaoui,Femme,2
66,Paolo,Bernard,Homme,2
67,Ayman,Wardi,Homme,1
68,Adil,Benkirane,Homme,1
69,Serigne,Gueye,Homme,2
70,Salim,Zahri,Homme,1
71,Rachid,Akka,Homme,2
72,Rania,Toumi,Femme,2
73,Hanane,Touz,Femme,2
74,Amine,Hattab,Homme,2
75,Zahra,Tougi,Femme,1
76,Mounir,Sabi,Homme,2
77,Ilyas,Khaldoune,Homme,2
78,Hayat,El Fahime,Femme,1
79,Yacine,El Moutaouakil,Homme,2
80,Zahra,Sebti,Femme,1
81,Mahdi,Chemao,Homme,2
82,Cheikh,Camara,Homme,1
83,Kamil,Zouak,Homme,2
84,Salsabil,Touba,Femme,1
85,Selma,Zouw,Femme,2
86,Walid,Hattab,Homme,1
87,Khalida,Lahlou,Femme,2
88,Nabila,Rmil,Femme,1
89,Samir,Hakimi,Homme,1
90,Tariq,Nouaman,Homme,2
91,Chaimae,Doukkali,Femme,1
92,Basma,Saih,Femme,1
93,Javier,Dupont,Homme,2
94,Mariama,Touré,Femme,2
95,Younes,Kabbaj,Homme,1
96,Khalida,Tabit,Femme,1
97,Wassim,Touzi,Homme,1
98,Rim,Bouaouina,Femme,1
99,Marouane,Cherkaoui,Homme,2
100,Salma,El Yazidi,Femme,2
101,Nisrine,Assou,Femme,1
102,Hiba,Zniber,Femme,2
103,Sabrina,Belkhadir,Femme,2
104,Taoufik,Zouy,Femme,1
105,Abdellah,Tazi,Homme,1
106,Modou,Ouattara,Homme,2
107,Abdessamad,Mabrouk,Homme,1
108,Chaymae,Jorio,Femme,1
109,Hatim,Demnati,Homme,2
110,Zohra,Saih,Femme,2
111,Mbarek,Benjelloun,Homme,2
112,Jean,Silva,Homme,2
113,Rayan,Slaoui,Homme,1
